"DATE","TIME PERIOD","Euribor 3-month - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA) - Modified value (Quarterly)"
"1994-03-31","1994Q1","6.8400000"
"1994-06-30","1994Q2","6.3700000"
"1994-09-30","1994Q3","6.3800000"
"1994-12-31","1994Q4","6.5100000"
"1995-03-31","1995Q1","6.9400000"
"1995-06-30","1995Q2","7.1400000"
"1995-09-30","1995Q3","6.6900000"
"1995-12-31","1995Q4","6.5100000"
"1996-03-31","1996Q1","5.6300000"
"1996-06-30","1996Q2","5.1400000"
"1996-09-30","1996Q3","5.0000000"
"1996-12-31","1996Q4","4.5900000"
"1997-03-31","1997Q1","4.4400000"
"1997-06-30","1997Q2","4.3300000"
"1997-09-30","1997Q3","4.3200000"
"1997-12-31","1997Q4","4.4300000"
"1998-03-31","1998Q1","4.2000000"
"1998-06-30","1998Q2","4.0600000"
"1998-09-30","1998Q3","3.9400000"
"1998-12-31","1998Q4","3.6200000"
"1999-03-31","1999Q1","3.0907319"
"1999-06-30","1999Q2","2.6340296"
"1999-09-30","1999Q3","2.6993939"
"1999-12-31","1999Q4","3.4297980"
"2000-03-31","2000Q1","3.5423161"
"2000-06-30","2000Q2","4.2630169"
"2000-09-30","2000Q3","4.7376004"
"2000-12-31","2000Q4","5.0241284"
"2001-03-31","2001Q1","4.7450546"
"2001-06-30","2001Q2","4.5907511"
"2001-09-30","2001Q3","4.2678360"
"2001-12-31","2001Q4","3.4434801"
"2002-03-31","2002Q1","3.3622242"
"2002-06-30","2002Q2","3.4460137"
"2002-09-30","2002Q3","3.3573507"
"2002-12-31","2002Q4","3.1088179"
"2003-03-31","2003Q1","2.6830735"
"2003-06-30","2003Q2","2.3619103"
"2003-09-30","2003Q3","2.1392634"
"2003-12-31","2003Q4","2.1496495"
"2004-03-31","2004Q1","2.0629508"
"2004-06-30","2004Q2","2.0824296"
"2004-09-30","2004Q3","2.1163030"
"2004-12-31","2004Q4","2.1636085"
"2005-03-31","2005Q1","2.1403230"
"2005-06-30","2005Q2","2.1246400"
"2005-09-30","2005Q3","2.1303478"
"2005-12-31","2005Q4","2.3434466"
"2006-03-31","2006Q1","2.6115468"
"2006-06-30","2006Q2","2.8894865"
"2006-09-30","2006Q3","3.2213499"
"2006-12-31","2006Q4","3.5944641"
"2007-03-31","2007Q1","3.8203242"
"2007-06-30","2007Q2","4.0647962"
"2007-09-30","2007Q3","4.5004968"
"2007-12-31","2007Q4","4.7247684"
