"DATE","TIME PERIOD","Gross disposable income of households (QSA.Q.Y.I9.W0.S1M.S1._Z.B.B6G._Z._Z._Z.XDC._T.S.V.N._T)"
"1999-03-31","1999Q1","1066415.42"
"1999-06-30","1999Q2","1077368.70"
"1999-09-30","1999Q3","1090975.04"
"1999-12-31","1999Q4","1102236.25"
"2000-03-31","2000Q1","1109582.06"
"2000-06-30","2000Q2","1124931.90"
"2000-09-30","2000Q3","1138787.04"
"2000-12-31","2000Q4","1154843.02"
"2001-03-31","2001Q1","1175725.96"
"2001-06-30","2001Q2","1184613.78"
"2001-09-30","2001Q3","1201303.73"
"2001-12-31","2001Q4","1212419.68"
"2002-03-31","2002Q1","1213082.20"
"2002-06-30","2002Q2","1228319.41"
"2002-09-30","2002Q3","1233311.97"
"2002-12-31","2002Q4","1251796.41"
"2003-03-31","2003Q1","1260793.82"
"2003-06-30","2003Q2","1267265.75"
"2003-09-30","2003Q3","1287130.33"
"2003-12-31","2003Q4","1288817.04"
"2004-03-31","2004Q1","1309307.65"
"2004-06-30","2004Q2","1319686.45"
"2004-09-30","2004Q3","1331174.69"
"2004-12-31","2004Q4","1338011.81"
"2005-03-31","2005Q1","1343838.42"
"2005-06-30","2005Q2","1360287.89"
"2005-09-30","2005Q3","1368653.11"
"2005-12-31","2005Q4","1384152.26"
"2006-03-31","2006Q1","1401253.29"
"2006-06-30","2006Q2","1418158.45"
"2006-09-30","2006Q3","1437365.39"
"2006-12-31","2006Q4","1454192.00"
"2007-03-31","2007Q1","1464993.87"
"2007-06-30","2007Q2","1478889.31"
"2007-09-30","2007Q3","1489175.35"
"2007-12-31","2007Q4","1512963.44"
"2008-03-31","2008Q1","1528592.77"
"2008-06-30","2008Q2","1540184.10"
"2008-09-30","2008Q3","1541975.17"
"2008-12-31","2008Q4","1535140.76"
"2009-03-31","2009Q1","1520911.47"
"2009-06-30","2009Q2","1525222.66"
"2009-09-30","2009Q3","1529268.43"
"2009-12-31","2009Q4","1537515.96"
"2010-03-31","2010Q1","1532558.91"
"2010-06-30","2010Q2","1538726.87"
"2010-09-30","2010Q3","1551469.06"
"2010-12-31","2010Q4","1558371.94"
"2011-03-31","2011Q1","1564720.01"
"2011-06-30","2011Q2","1578817.74"
"2011-09-30","2011Q3","1574869.17"
"2011-12-31","2011Q4","1584454.52"
"2012-03-31","2012Q1","1580052.89"
"2012-06-30","2012Q2","1575919.67"
"2012-09-30","2012Q3","1573612.32"
"2012-12-31","2012Q4","1569000.33"
"2013-03-31","2013Q1","1574798.13"
"2013-06-30","2013Q2","1579129.46"
"2013-09-30","2013Q3","1584702.95"
"2013-12-31","2013Q4","1592655.81"
"2014-03-31","2014Q1","1595837.33"
"2014-06-30","2014Q2","1597884.73"
"2014-09-30","2014Q3","1614424.53"
"2014-12-31","2014Q4","1617305.17"
"2015-03-31","2015Q1","1629312.50"
"2015-06-30","2015Q2","1639417.47"
"2015-09-30","2015Q3","1652342.07"
"2015-12-31","2015Q4","1659919.25"
"2016-03-31","2016Q1","1672117.81"
"2016-06-30","2016Q2","1681071.74"
"2016-09-30","2016Q3","1688836.47"
"2016-12-31","2016Q4","1699891.65"
"2017-03-31","2017Q1","1717019.00"
"2017-06-30","2017Q2","1726500.00"
"2017-09-30","2017Q3","1738542.48"
"2017-12-31","2017Q4","1757780.95"
"2018-03-31","2018Q1","1768709.14"
"2018-06-30","2018Q2","1784246.89"
"2018-09-30","2018Q3","1795918.50"
"2018-12-31","2018Q4","1820376.86"
"2019-03-31","2019Q1","1834870.75"
"2019-06-30","2019Q2","1849236.90"
"2019-09-30","2019Q3","1857752.24"
"2019-12-31","2019Q4","1854918.53"
"2020-03-31","2020Q1","1865405.55"
"2020-06-30","2020Q2","1816007.55"
"2020-09-30","2020Q3","1862332.63"
"2020-12-31","2020Q4","1871513.17"
"2021-03-31","2021Q1","1890115.92"
"2021-06-30","2021Q2","1932231.45"
"2021-09-30","2021Q3","1949292.90"
"2021-12-31","2021Q4","1988456.42"
"2022-03-31","2022Q1","2013959.71"
"2022-06-30","2022Q2","2052973.37"
"2022-09-30","2022Q3","2121425.47"
"2022-12-31","2022Q4","2161520.97"
"2023-03-31","2023Q1","2203850.89"
"2023-06-30","2023Q2","2230470.58"
"2023-09-30","2023Q3","2256153.04"
"2023-12-31","2023Q4","2288690.59"
"2024-03-31","2024Q1","2325355.44"
"2024-06-30","2024Q2","2340935.87"
"2024-09-30","2024Q3","2362784.52"
"2024-12-31","2024Q4","2376509.20"
"2025-03-31","2025Q1","2398236.43"
"2025-06-30","2025Q2","2420155.53"
"2025-09-30","2025Q3","2433201.41"
