"DATE","TIME PERIOD","Monetary aggregate M3, Stocks (BSI.M.U2.Y.V.M30.X.1.U2.2300.Z01.E) - Modified value (Quarterly)"
"1980-03-31","1980Q1","1117228.00"
"1980-06-30","1980Q2","1139157.00"
"1980-09-30","1980Q3","1164470.00"
"1980-12-31","1980Q4","1198927.00"
"1981-03-31","1981Q1","1233640.00"
"1981-06-30","1981Q2","1266536.00"
"1981-09-30","1981Q3","1293408.00"
"1981-12-31","1981Q4","1324037.00"
"1982-03-31","1982Q1","1366026.00"
"1982-06-30","1982Q2","1403542.00"
"1982-09-30","1982Q3","1440564.00"
"1982-12-31","1982Q4","1478452.00"
"1983-03-31","1983Q1","1505297.00"
"1983-06-30","1983Q2","1538465.00"
"1983-09-30","1983Q3","1569280.00"
"1983-12-31","1983Q4","1607971.00"
"1984-03-31","1984Q1","1633342.00"
"1984-06-30","1984Q2","1668177.00"
"1984-09-30","1984Q3","1711302.00"
"1984-12-31","1984Q4","1742791.00"
"1985-03-31","1985Q1","1788333.00"
"1985-06-30","1985Q2","1812216.00"
"1985-09-30","1985Q3","1840516.00"
"1985-12-31","1985Q4","1882118.00"
"1986-03-31","1986Q1","1919041.00"
"1986-06-30","1986Q2","1936535.00"
"1986-09-30","1986Q3","1976548.00"
"1986-12-31","1986Q4","2011545.00"
"1987-03-31","1987Q1","2053663.00"
"1987-06-30","1987Q2","2095216.00"
"1987-09-30","1987Q3","2137689.00"
"1987-12-31","1987Q4","2173838.00"
"1988-03-31","1988Q1","2210937.00"
"1988-06-30","1988Q2","2262415.00"
"1988-09-30","1988Q3","2315101.00"
"1988-12-31","1988Q4","2358041.00"
"1989-03-31","1989Q1","2423922.00"
"1989-06-30","1989Q2","2480570.00"
"1989-09-30","1989Q3","2534023.00"
"1989-12-31","1989Q4","2593728.00"
"1990-03-31","1990Q1","2644762.00"
"1990-06-30","1990Q2","2786501.00"
"1990-09-30","1990Q3","2846434.00"
"1990-12-31","1990Q4","2907362.00"
"1991-03-31","1991Q1","2954443.00"
"1991-06-30","1991Q2","3003602.00"
"1991-09-30","1991Q3","3064203.00"
"1991-12-31","1991Q4","3132988.00"
"1992-03-31","1992Q1","3174957.00"
"1992-06-30","1992Q2","3249564.00"
"1992-09-30","1992Q3","3332285.00"
"1992-12-31","1992Q4","3365086.00"
"1993-03-31","1993Q1","3441196.00"
"1993-06-30","1993Q2","3479485.00"
"1993-09-30","1993Q3","3515151.00"
"1993-12-31","1993Q4","3588556.00"
"1994-03-31","1994Q1","3622879.00"
"1994-06-30","1994Q2","3642375.00"
"1994-09-30","1994Q3","3656168.00"
"1994-12-31","1994Q4","3672401.00"
"1995-03-31","1995Q1","3698901.00"
"1995-06-30","1995Q2","3752177.00"
"1995-09-30","1995Q3","3804491.00"
"1995-12-31","1995Q4","3877110.00"
"1996-03-31","1996Q1","3919392.00"
"1996-06-30","1996Q2","3948661.00"
"1996-09-30","1996Q3","4002704.00"
"1996-12-31","1996Q4","4037575.00"
"1997-03-31","1997Q1","4061573.00"
"1997-06-30","1997Q2","4121578.00"
"1997-09-30","1997Q3","4169047.00"
"1997-12-31","1997Q4","4222019.00"
"1998-03-31","1998Q1","4267921.00"
"1998-06-30","1998Q2","4340943.00"
"1998-09-30","1998Q3","4371401.00"
"1998-12-31","1998Q4","4422982.00"
"1999-03-31","1999Q1","4453500.00"
"1999-06-30","1999Q2","4537054.00"
"1999-09-30","1999Q3","4594744.00"
"1999-12-31","1999Q4","4667221.00"
"2000-03-31","2000Q1","4766006.00"
"2000-06-30","2000Q2","4788838.00"
"2000-09-30","2000Q3","4830524.00"
"2000-12-31","2000Q4","4859203.00"
"2001-03-31","2001Q1","5079966.00"
"2001-06-30","2001Q2","5192173.00"
"2001-09-30","2001Q3","5296229.00"
"2001-12-31","2001Q4","5402883.00"
"2002-03-31","2002Q1","5453968.00"
"2002-06-30","2002Q2","5539079.00"
"2002-09-30","2002Q3","5660669.00"
"2002-12-31","2002Q4","5767431.00"
"2003-03-31","2003Q1","5880069.00"
"2003-06-30","2003Q2","5990357.00"
"2003-09-30","2003Q3","6057142.00"
"2003-12-31","2003Q4","6148767.00"
"2004-03-31","2004Q1","6232560.00"
"2004-06-30","2004Q2","6315025.00"
"2004-09-30","2004Q3","6417367.00"
"2004-12-31","2004Q4","6540370.00"
"2005-03-31","2005Q1","6628904.00"
"2005-06-30","2005Q2","6807158.00"
"2005-09-30","2005Q3","6972348.00"
