"DATE","TIME PERIOD","Gross domestic product at market prices, nominal (MNA.Q.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.V.N)"
"1995-03-31","1995Q1","1381424.92"
"1995-06-30","1995Q2","1428333.55"
"1995-09-30","1995Q3","1433535.14"
"1995-12-31","1995Q4","1518244.99"
"1996-03-31","1996Q1","1442988.62"
"1996-06-30","1996Q2","1494276.40"
"1996-09-30","1996Q3","1497061.45"
"1996-12-31","1996Q4","1572260.34"
"1997-03-31","1997Q1","1463382.87"
"1997-06-30","1997Q2","1534480.79"
"1997-09-30","1997Q3","1529534.16"
"1997-12-31","1997Q4","1626575.00"
"1998-03-31","1998Q1","1530645.72"
"1998-06-30","1998Q2","1588051.55"
"1998-09-30","1998Q3","1593321.16"
"1998-12-31","1998Q4","1692075.30"
"1999-03-31","1999Q1","1601421.27"
"1999-06-30","1999Q2","1661360.83"
"1999-09-30","1999Q3","1668289.49"
"1999-12-31","1999Q4","1773189.33"
"2000-03-31","2000Q1","1696762.49"
"2000-06-30","2000Q2","1753793.03"
"2000-09-30","2000Q3","1752947.30"
"2000-12-31","2000Q4","1857072.43"
"2001-03-31","2001Q1","1785698.06"
"2001-06-30","2001Q2","1840194.52"
"2001-09-30","2001Q3","1831421.12"
"2001-12-31","2001Q4","1937141.20"
"2002-03-31","2002Q1","1834443.72"
"2002-06-30","2002Q2","1904812.00"
"2002-09-30","2002Q3","1906667.36"
"2002-12-31","2002Q4","2002575.32"
"2003-03-31","2003Q1","1893824.83"
"2003-06-30","2003Q2","1951828.90"
"2003-09-30","2003Q3","1962678.56"
"2003-12-31","2003Q4","2067248.22"
"2004-03-31","2004Q1","1973385.20"
"2004-06-30","2004Q2","2047834.16"
"2004-09-30","2004Q3","2040401.02"
"2004-12-31","2004Q4","2152306.68"
"2005-03-31","2005Q1","2035833.13"
"2005-06-30","2005Q2","2127848.05"
"2005-09-30","2005Q3","2117572.19"
"2005-12-31","2005Q4","2238514.19"
"2006-03-31","2006Q1","2148867.67"
"2006-06-30","2006Q2","2235535.15"
"2006-09-30","2006Q3","2227639.50"
"2006-12-31","2006Q4","2369217.17"
"2007-03-31","2007Q1","2280745.18"
"2007-06-30","2007Q2","2360795.48"
"2007-09-30","2007Q3","2350633.99"
"2007-12-31","2007Q4","2488428.20"
"2008-03-31","2008Q1","2368969.69"
"2008-06-30","2008Q2","2456019.96"
"2008-09-30","2008Q3","2416445.27"
"2008-12-31","2008Q4","2478535.03"
"2009-03-31","2009Q1","2269001.21"
"2009-06-30","2009Q2","2332956.38"
"2009-09-30","2009Q3","2329897.55"
"2009-12-31","2009Q4","2449500.89"
"2010-03-31","2010Q1","2309278.22"
"2010-06-30","2010Q2","2405884.47"
"2010-09-30","2010Q3","2405514.09"
"2010-12-31","2010Q4","2524380.44"
"2011-03-31","2011Q1","2410070.35"
"2011-06-30","2011Q2","2481098.54"
"2011-09-30","2011Q3","2467794.75"
"2011-12-31","2011Q4","2561849.73"
"2012-03-31","2012Q1","2434685.78"
"2012-06-30","2012Q2","2479542.32"
"2012-09-30","2012Q3","2473042.93"
"2012-12-31","2012Q4","2563980.17"
"2013-03-31","2013Q1","2424652.90"
"2013-06-30","2013Q2","2511268.19"
"2013-09-30","2013Q3","2514742.45"
"2013-12-31","2013Q4","2606433.00"
"2014-03-31","2014Q1","2489240.26"
"2014-06-30","2014Q2","2559824.19"
"2014-09-30","2014Q3","2572320.19"
"2014-12-31","2014Q4","2676948.10"
"2015-03-31","2015Q1","2567611.24"
"2015-06-30","2015Q2","2650240.61"
"2015-09-30","2015Q3","2664110.67"
"2015-12-31","2015Q4","2779747.25"
"2016-03-31","2016Q1","2641761.87"
"2016-06-30","2016Q2","2738311.45"
"2016-09-30","2016Q3","2725216.31"
"2016-12-31","2016Q4","2847152.32"
"2017-03-31","2017Q1","2743915.63"
"2017-06-30","2017Q2","2823989.84"
"2017-09-30","2017Q3","2832245.53"
"2017-12-31","2017Q4","2968094.00"
"2018-03-31","2018Q1","2839764.65"
"2018-06-30","2018Q2","2923149.67"
"2018-09-30","2018Q3","2919553.83"
"2018-12-31","2018Q4","3064591.11"
"2019-03-31","2019Q1","2937705.92"
"2019-06-30","2019Q2","3017786.20"
"2019-09-30","2019Q3","3032086.09"
"2019-12-31","2019Q4","3152705.89"
"2020-03-31","2020Q1","2915551.83"
"2020-06-30","2020Q2","2667237.26"
"2020-09-30","2020Q3","2942163.92"
"2020-12-31","2020Q4","3090849.32"
"2021-03-31","2021Q1","2964786.14"
"2021-06-30","2021Q2","3103427.02"
"2021-09-30","2021Q3","3187091.24"
"2021-12-31","2021Q4","3363387.08"
"2022-03-31","2022Q1","3267944.12"
"2022-06-30","2022Q2","3405324.19"
"2022-09-30","2022Q3","3454423.49"
"2022-12-31","2022Q4","3630244.40"
"2023-03-31","2023Q1","3543755.01"
"2023-06-30","2023Q2","3642591.85"
"2023-09-30","2023Q3","3654698.27"
"2023-12-31","2023Q4","3822920.04"
"2024-03-31","2024Q1","3685523.86"
"2024-06-30","2024Q2","3777362.59"
"2024-09-30","2024Q3","3799555.73"
"2024-12-31","2024Q4","3972029.04"
"2025-03-31","2025Q1","3823923.35"
"2025-06-30","2025Q2","3924757.18"
"2025-09-30","2025Q3","3944761.55"
"2025-12-31","2025Q4","4127150.36"
