"DATE","TIME PERIOD","Unemployment rate, age 15 to 74, total (LFSI.M.I10.S.UNEHRT.TOTAL0.15_74.T) - Modified value (Quarterly)"
"2000-03-31","2000Q1","9.5"
"2000-06-30","2000Q2","9.3"
"2000-09-30","2000Q3","9.2"
"2000-12-31","2000Q4","9.0"
"2001-03-31","2001Q1","8.8"
"2001-06-30","2001Q2","8.7"
"2001-09-30","2001Q3","8.7"
"2001-12-31","2001Q4","8.8"
"2002-03-31","2002Q1","8.8"
"2002-06-30","2002Q2","8.9"
"2002-09-30","2002Q3","9.0"
"2002-12-31","2002Q4","9.1"
"2003-03-31","2003Q1","9.2"
"2003-06-30","2003Q2","9.3"
"2003-09-30","2003Q3","9.3"
"2003-12-31","2003Q4","9.3"
"2004-03-31","2004Q1","9.5"
"2004-06-30","2004Q2","9.5"
"2004-09-30","2004Q3","9.4"
"2004-12-31","2004Q4","9.5"
"2005-03-31","2005Q1","9.3"
"2005-06-30","2005Q2","9.3"
"2005-09-30","2005Q3","9.2"
"2005-12-31","2005Q4","9.1"
"2006-03-31","2006Q1","8.9"
"2006-06-30","2006Q2","8.6"
"2006-09-30","2006Q3","8.4"
"2006-12-31","2006Q4","8.2"
"2007-03-31","2007Q1","7.9"
"2007-06-30","2007Q2","7.7"
"2007-09-30","2007Q3","7.6"
"2007-12-31","2007Q4","7.4"
"2008-03-31","2008Q1","7.3"
"2008-06-30","2008Q2","7.5"
"2008-09-30","2008Q3","7.6"
"2008-12-31","2008Q4","8.0"
"2009-03-31","2009Q1","9.0"
"2009-06-30","2009Q2","9.6"
"2009-09-30","2009Q3","9.9"
"2009-12-31","2009Q4","10.1"
"2010-03-31","2010Q1","10.3"
"2010-06-30","2010Q2","10.4"
"2010-09-30","2010Q3","10.3"
"2010-12-31","2010Q4","10.3"
"2011-03-31","2011Q1","10.2"
"2011-06-30","2011Q2","10.1"
"2011-09-30","2011Q3","10.4"
"2011-12-31","2011Q4","10.8"
"2012-03-31","2012Q1","11.1"
"2012-06-30","2012Q2","11.4"
"2012-09-30","2012Q3","11.6"
"2012-12-31","2012Q4","12.0"
"2013-03-31","2013Q1","12.3"
"2013-06-30","2013Q2","12.3"
"2013-09-30","2013Q3","12.2"
"2013-12-31","2013Q4","12.1"
"2014-03-31","2014Q1","12.0"
"2014-06-30","2014Q2","11.7"
"2014-09-30","2014Q3","11.6"
"2014-12-31","2014Q4","11.6"
"2015-03-31","2015Q1","11.3"
"2015-06-30","2015Q2","11.1"
"2015-09-30","2015Q3","10.7"
"2015-12-31","2015Q4","10.6"
"2016-03-31","2016Q1","10.4"
"2016-06-30","2016Q2","10.2"
"2016-09-30","2016Q3","9.9"
"2016-12-31","2016Q4","9.8"
"2017-03-31","2017Q1","9.5"
"2017-06-30","2017Q2","9.2"
"2017-09-30","2017Q3","9.0"
"2017-12-31","2017Q4","8.7"
"2018-03-31","2018Q1","8.6"
"2018-06-30","2018Q2","8.3"
"2018-09-30","2018Q3","8.0"
"2018-12-31","2018Q4","7.9"
"2019-03-31","2019Q1","7.8"
"2019-06-30","2019Q2","7.6"
"2019-09-30","2019Q3","7.4"
"2019-12-31","2019Q4","7.4"
"2020-03-31","2020Q1","7.3"
"2020-06-30","2020Q2","7.7"
"2020-09-30","2020Q3","8.5"
"2020-12-31","2020Q4","8.3"
"2021-03-31","2021Q1","8.2"
"2021-06-30","2021Q2","8.1"
"2021-09-30","2021Q3","7.5"
"2021-12-31","2021Q4","7.1"
"2022-03-31","2022Q1","6.8"
"2022-06-30","2022Q2","6.7"
"2022-09-30","2022Q3","6.7"
"2022-12-31","2022Q4","6.7"
"2023-03-31","2023Q1","6.6"
"2023-06-30","2023Q2","6.5"
"2023-09-30","2023Q3","6.6"
"2023-12-31","2023Q4","6.5"
"2024-03-31","2024Q1","6.5"
"2024-06-30","2024Q2","6.4"
"2024-09-30","2024Q3","6.3"
"2024-12-31","2024Q4","6.2"
"2025-03-31","2025Q1","6.3"
"2025-06-30","2025Q2","6.3"
"2025-09-30","2025Q3","6.3"
"2025-12-31","2025Q4","6.3"
"2026-02-28","2026Q1","6.2"
